data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.125,0.0,7,1
10,0.0,0.0,0.0,8,0
10,0.25,0.17647058823529413,0.03571428571428571,15,4
20,0.0,0.3,0.0,14,6
20,0.0,0.12,0.0,22,3
20,0.6666666666666666,0.043478260869565216,0.011976047904191617,24,3
30,0.0,0.038461538461538464,0.0,25,1
30,0.3333333333333333,0.1935483870967742,0.007425742574257425,27,9
30,0.2,0.1111111111111111,0.002506265664160401,33,5
40,0.3125,0.3548387096774194,0.006675567423230975,24,16
40,0.2,0.09302325581395349,0.0013568521031207597,40,5
40,0.6,0.044444444444444446,0.004081632653061225,45,5
50,0.14285714285714285,0.10909090909090909,0.0008547008547008547,50,7
50,0.3333333333333333,0.19230769230769232,0.004262574595055414,47,15
50,0.08333333333333333,0.1864406779661017,0.0008576329331046312,49,12
60,0.125,0.1111111111111111,0.0005858230814294083,57,8
60,0.0,0.03636363636363636,0.0,53,2
60,0.21428571428571427,0.1774193548387097,0.001756440281030445,54,14
70,0.2727272727272727,0.10666666666666667,0.001282051282051282,69,11
70,0.25,0.05263157894736842,0.00042408821034775233,55,4
70,0.2,0.16666666666666666,0.0012804097311139564,62,15
80,0.125,0.09210526315789473,0.00032425421530479895,70,8
80,0.13333333333333333,0.12380952380952381,0.0006546644844517185,94,15
80,0.5555555555555556,0.05194805194805195,0.001621796951021732,77,9
90,0.21428571428571427,0.13580246913580246,0.0007645259938837921,73,14
90,0.1875,0.13,0.0007682458386683739,90,16
90,0.23809523809523808,0.17582417582417584,0.0012774655084312723,80,21
100,0.13333333333333333,0.13978494623655913,0.00041177681696520483,82,15
100,0.375,0.045871559633027525,0.0006197066721751704,106,8
100,0.09090909090909091,0.08064516129032258,0.00020721094073767094,115,11
