data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.125,0.0,7,1
10,0.0,0.0,0.0,8,0
10,0.4,0.17647058823529413,0.07142857142857142,16,5
20,0.3333333333333333,0.3,0.01764705882352941,17,9
20,0.0,0.12,0.0,22,3
20,0.8333333333333334,0.043478260869565216,0.029940119760479042,27,6
30,0.0,0.038461538461538464,0.0,25,1
30,0.5333333333333333,0.22580645161290322,0.019801980198019802,31,15
30,0.375,0.1388888888888889,0.007518796992481203,34,8
40,0.45,0.3548387096774194,0.012016021361815754,28,20
40,0.3333333333333333,0.09302325581395349,0.0027137042062415195,41,6
40,0.7142857142857143,0.044444444444444446,0.006802721088435374,47,7
50,0.2222222222222222,0.12727272727272726,0.0017094017094017094,50,9
50,0.42105263157894735,0.21153846153846154,0.0068201193520886615,49,19
50,0.25,0.1016949152542373,0.0017152658662092624,55,8
60,0.3076923076923077,0.14285714285714285,0.0023432923257176333,58,13
60,0.5,0.05454545454545454,0.001749271137026239,55,6
60,0.5,0.1774193548387097,0.006440281030444965,62,22
70,0.3333333333333333,0.08,0.001282051282051282,71,9
70,0.25,0.05263157894736842,0.00042408821034775233,55,4
70,0.42105263157894735,0.1527777777777778,0.0034144259496372174,68,19
80,0.125,0.09210526315789473,0.00032425421530479895,70,8
80,0.3,0.13333333333333333,0.0019639934533551553,97,20
80,0.5384615384615384,0.07792207792207792,0.0022705157314304248,77,13
90,0.52,0.14814814814814814,0.003312945973496432,81,25
90,0.2777777777777778,0.13,0.0012804097311139564,92,18
90,0.3225806451612903,0.23076923076923078,0.0025549310168625446,80,31
100,0.30434782608695654,0.17204301075268819,0.001441218859378217,84,23
100,0.5,0.07339449541284404,0.0016525511258004544,108,16
100,0.15384615384615385,0.08870967741935484,0.0004144218814753419,115,13
