data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.5,0.07692307692307693,0.03125,13,2
10,0.42857142857142855,0.2857142857142857,0.0967741935483871,13,7
20,0.18181818181818182,0.5294117647058824,0.011560693641618497,10,11
20,0.23076923076923078,0.4166666666666667,0.018072289156626505,17,13
30,0.46153846153846156,0.2,0.015,34,13
30,0.3333333333333333,0.13793103448275862,0.0049261083743842365,27,6
30,0.5,0.20833333333333334,0.012165450121654502,23,10
30,0.3333333333333333,0.14814814814814814,0.004901960784313725,25,6
30,0.3684210526315789,0.32432432432432434,0.017587939698492462,31,19
30,0.4,0.3103448275862069,0.014778325123152709,26,15
30,0.36363636363636365,0.18421052631578946,0.010075566750629723,35,11
40,0.5333333333333333,0.19444444444444445,0.010752688172043012,36,15
40,0.7272727272727273,0.075,0.010810810810810811,43,11
40,0.375,0.16129032258064516,0.004005340453938585,28,8
40,0.45454545454545453,0.17142857142857143,0.006711409395973154,33,11
40,0.4166666666666667,0.17073170731707318,0.006765899864682003,39,12
40,0.2222222222222222,0.175,0.002702702702702703,35,9
50,0.5454545454545454,0.1,0.005106382978723404,51,11
50,0.45454545454545453,0.125,0.004248088360237893,46,11
50,0.26666666666666666,0.22,0.003404255319148936,43,15
50,0.375,0.11627906976744186,0.0025380710659898475,41,8
50,0.5333333333333333,0.12727272727272726,0.006837606837606838,56,15
60,0.25,0.10909090909090909,0.0011661807580174927,51,8
60,0.5833333333333334,0.0847457627118644,0.004091174751607247,59,12
60,0.5454545454545454,0.07246376811594203,0.003527336860670194,69,11
60,0.4444444444444444,0.08064516129032258,0.00234192037470726,60,9
70,0.5555555555555556,0.05970149253731343,0.002129471890971039,66,9
80,0.5454545454545454,0.07352941176470588,0.0019404915912031048,68,11
80,0.3333333333333333,0.04938271604938271,0.0006495615459564793,79,6
80,0.4,0.05,0.0006451612903225806,59,5
80,0.3333333333333333,0.14814814814814814,0.001948684637869438,75,18
80,0.46153846153846156,0.09859154929577464,0.0019423761735189381,70,13
90,0.5263157894736842,0.0967741935483871,0.002556237218813906,92,19
90,0.6875,0.05319148936170213,0.002812579902838149,98,16
90,0.5,0.043478260869565216,0.0010222335803731152,91,8
90,0.3617021276595745,0.36585365853658536,0.004333418302319653,69,47
90,0.6,0.021739130434782608,0.0007666751852798365,92,5
100,0.42857142857142855,0.044444444444444446,0.0006172839506172839,89,7
100,0.5,0.010869565217391304,0.0002058460271716756,92,2
