data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.4,0.0,6,4
10,0.0,0.0,0.0,9,0
10,0.0,0.08333333333333333,0.0,11,1
10,0.0,0.0,0.0,9,0
10,0.0,0.0,0.0,9,0
10,0.0,0.1111111111111111,0.0,8,1
10,0.0,0.09090909090909091,0.0,10,1
10,0.0,0.0,0.0,13,0
10,0.0,0.25,0.0,3,1
10,0.0,0.0,0.0,7,0
20,0.0,0.14285714285714285,0.0,12,2
20,0.0,0.13043478260869565,0.0,20,3
20,0.5,0.05555555555555555,0.005813953488372093,18,2
20,0.18181818181818182,0.32142857142857145,0.012345679012345678,20,11
20,0.34615384615384615,0.6071428571428571,0.05555555555555555,20,26
20,0.16666666666666666,0.2631578947368421,0.005847953216374269,15,6
20,0.0,0.0625,0.0,15,1
20,0.0,0.1,0.0,18,2
20,0.25,0.13043478260869565,0.005988023952095809,21,4
20,0.0,0.05,0.0,19,1
30,0.16666666666666666,0.2857142857142857,0.005,27,12
30,0.0,0.0,0.0,28,0
30,0.2,0.125,0.0024813895781637717,29,5
30,0.2,0.10526315789473684,0.0025188916876574307,35,5
30,0.0,0.047619047619047616,0.0,20,1
30,0.0,0.041666666666666664,0.0,23,1
30,0.0,0.15789473684210525,0.0,32,6
30,0.0,0.043478260869565216,0.0,22,1
30,0.3333333333333333,0.14285714285714285,0.004914004914004914,26,6
30,0.0,0.03571428571428571,0.0,27,1
40,0.0,0.07317073170731707,0.0,38,3
40,0.2857142857142857,0.11363636363636363,0.002717391304347826,41,7
40,0.0,0.0,0.0,29,0
40,0.25,0.06976744186046512,0.0013568521031207597,41,4
40,0.0,0.1794871794871795,0.0,32,7
40,0.0,0.029411764705882353,0.0,33,1
40,0.25,0.08108108108108109,0.0013458950201884253,35,4
40,0.3,0.1794871794871795,0.004048582995951417,35,10
40,0.0,0.14285714285714285,0.0,36,6
40,0.3888888888888889,0.2972972972972973,0.009421265141318977,32,18
50,0.2857142857142857,0.08928571428571429,0.001710863986313088,52,7
50,0.25,0.061224489795918366,0.0008503401360544217,47,4
50,0.5,0.023809523809523808,0.0008453085376162299,42,2
50,0.0,0.02127659574468085,0.0,46,1
50,0.2727272727272727,0.13559322033898305,0.002572898799313894,54,11
50,0.125,0.14893617021276595,0.0008488964346349745,40,8
50,0.4,0.06,0.001702127659574468,47,5
50,0.25,0.06,0.000851063829787234,48,4
50,0.0,0.05660377358490566,0.0,50,3
50,0.0,0.06382978723404255,0.0,44,3
60,0.1,0.17647058823529413,0.0005817335660267597,43,10
60,0.3333333333333333,0.03125,0.0005861664712778429,63,3
60,0.08333333333333333,0.171875,0.0005861664712778429,54,12
60,0.3333333333333333,0.0425531914893617,0.0005803830528148578,46,3
60,0.2857142857142857,0.08333333333333333,0.0011695906432748538,56,7
60,0.0,0.13333333333333333,0.0,52,8
60,0.08333333333333333,0.18333333333333332,0.0005847953216374269,50,12
60,0.16666666666666666,0.08333333333333333,0.0005847953216374269,56,6
60,0.25,0.08955223880597014,0.0011743981209630064,63,8
60,0.0,0.125,0.0,49,7
70,0.4666666666666667,0.1095890410958904,0.0029888983774551663,71,15
70,0.0,0.11842105263157894,0.0,67,9
70,0.25,0.045454545454545456,0.0004257130693912303,64,4
70,0.375,0.07575757575757576,0.001277139208173691,64,8
70,0.0,0.04938271604938271,0.0,77,4
70,0.0,0.09090909090909091,0.0,60,6
70,0.0,0.057971014492753624,0.0,65,4
70,0.0,0.1111111111111111,0.0,64,8
70,0.14285714285714285,0.1,0.0004246284501061571,55,7
70,0.0,0.04411764705882353,0.0,65,3
80,0.0,0.14925373134328357,0.0,57,10
80,0.2777777777777778,0.14942528735632185,0.0016270745200130166,78,18
80,0.2857142857142857,0.07042253521126761,0.0006474587245063128,68,7
80,0.25,0.08,0.0006482982171799027,71,8
80,0.23076923076923078,0.11764705882352941,0.000975609756097561,78,13
80,0.0,0.08974358974358974,0.0,71,7
80,0.21428571428571427,0.12941176470588237,0.000975609756097561,77,14
80,0.0,0.0875,0.0,73,7
80,0.14285714285714285,0.07407407407407407,0.0003247807729782397,76,7
80,0.16666666666666666,0.06097560975609756,0.0003248862897985705,78,6
90,0.3333333333333333,0.06060606060606061,0.0007680491551459293,96,9
90,0.16666666666666666,0.11235955056179775,0.0005107252298263534,81,12
90,0.058823529411764705,0.1839080459770115,0.00025523226135783564,72,17
90,0.08333333333333333,0.12222222222222222,0.0002554278416347382,80,12
90,0.08333333333333333,0.125,0.0002552974214960429,78,12
100,0.14285714285714285,0.07058823529411765,0.00020554984583761563,80,7
100,0.3333333333333333,0.03669724770642202,0.0004131377814501136,107,6
100,0.08333333333333333,0.10377358490566038,0.00020644095788604458,96,12
100,0.06666666666666667,0.13592233009708737,0.00020631318341242006,90,15
100,0.14285714285714285,0.07058823529411765,0.00020554984583761563,80,7
100,0.3333333333333333,0.03669724770642202,0.0004131377814501136,107,6
100,0.08333333333333333,0.10377358490566038,0.00020644095788604458,96,12
100,0.06666666666666667,0.13592233009708737,0.00020631318341242006,90,15
100,0.16666666666666666,0.05434782608695652,0.0002058460271716756,88,6
100,0.3,0.08860759493670886,0.0006158899609936358,75,10
