data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.3333333333333333,0.14285714285714285,0.03225806451612903,13,3
20,0.2,0.23529411764705882,0.005780346820809248,14,5
20,0.1111111111111111,0.3333333333333333,0.006024096385542169,17,9
30,0.2857142857142857,0.14285714285714285,0.005,32,7
30,0.5454545454545454,0.1724137931034483,0.014778325123152709,30,11
30,0.3333333333333333,0.14814814814814814,0.004901960784313725,25,6
30,0.35294117647058826,0.2972972972972973,0.01507537688442211,31,17
30,0.14285714285714285,0.15789473684210525,0.0025188916876574307,33,7
40,0.46153846153846156,0.19444444444444445,0.008064516129032258,35,13
40,0.5,0.025,0.0013513513513513514,40,2
40,0.375,0.16129032258064516,0.004005340453938585,28,8
40,0.45454545454545453,0.17142857142857143,0.006711409395973154,33,11
40,0.16666666666666666,0.12195121951219512,0.0013531799729364006,37,6
50,0.2,0.08,0.000851063829787234,47,5
50,0.3333333333333333,0.125,0.002548853016142736,44,9
50,0.4,0.06,0.001702127659574468,49,5
50,0.4666666666666667,0.18604651162790697,0.005922165820642978,41,15
50,0.3333333333333333,0.03636363636363636,0.0008547008547008547,54,3
60,0.25,0.05454545454545454,0.0005830903790087463,53,4
60,0.5,0.03389830508474576,0.0011689070718877848,59,4
70,0.6666666666666666,0.029850746268656716,0.0017035775127768314,67,6
80,0.0,0.07352941176470588,0.0,63,5
80,0.3333333333333333,0.04938271604938271,0.0006495615459564793,79,6
80,0.5,0.03333333333333333,0.0006451612903225806,60,4
80,0.3333333333333333,0.07407407407407407,0.000974342318934719,78,9
80,0.0,0.0,0.0,71,0
90,0.42857142857142855,0.08602150537634409,0.0015337423312883436,91,14
90,0.25,0.03260869565217391,0.0002555583950932788,89,4
90,0.3617021276595745,0.36585365853658536,0.004333418302319653,69,47
90,0.5,0.043478260869565216,0.0010222335803731152,92,8
100,0.42857142857142855,0.044444444444444446,0.0006172839506172839,89,7
