data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.2,1.0,0.05405405405405406,2,10
20,0.26666666666666666,0.7857142857142857,0.022727272727272728,5,15
30,0.35135135135135137,0.96,0.03170731707317073,14,37
40,0.4810126582278481,0.9318181818181818,0.051630434782608696,39,79
50,0.5714285714285714,0.9807692307692307,0.057971014492753624,69,119
60,0.5971223021582733,0.9824561403508771,0.04845300642148278,83,139
70,0.6459627329192547,0.9344262295081968,0.044180118946474084,107,161
80,0.7244582043343654,0.9175257731958762,0.07639569049951028,239,323
90,0.7970660146699267,0.9021739130434783,0.0833120368004089,332,409
100,0.7937219730941704,0.92,0.07298969072164949,361,446
