data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.3333333333333333,1.0,0.10810810810810811,4,12
20,0.4,0.8571428571428571,0.045454545454545456,8,20
30,0.6031746031746031,1.0,0.09268292682926829,38,63
40,0.5,0.9318181818181818,0.05570652173913043,42,82
50,0.7068965517241379,0.9807692307692307,0.10485933503836317,124,174
60,0.7431192660550459,0.9824561403508771,0.09457092819614711,162,218
70,0.7622950819672131,0.9508196721311475,0.0790144435004248,188,244
80,0.765625,0.9278350515463918,0.09598432908912831,298,384
90,0.821505376344086,0.9021739130434783,0.09762330692563251,387,465
100,0.8309090909090909,0.93,0.09422680412371134,462,550
