data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.875,0.0,1,7
20,0.07692307692307693,0.8571428571428571,0.005681818181818182,2,13
30,0.0,1.0,0.0,0,25
40,0.023809523809523808,0.9318181818181818,0.001358695652173913,3,42
50,0.0392156862745098,0.9423076923076923,0.0017050298380221654,3,51
60,0.0,0.9824561403508771,0.0,1,56
70,0.0,0.9672131147540983,0.0,2,59
80,0.010638297872340425,0.9587628865979382,0.000326477309826967,4,94
90,0.03296703296703297,0.9565217391304348,0.0007666751852798365,5,91
100,0.010309278350515464,0.96,0.0002061855670103093,5,97
