data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.3,0.875,0.08108108108108109,3,10
10,0.0,1.0,0.0,0,9
10,0.15384615384615385,0.9166666666666666,0.06060606060606061,3,13
10,0.23076923076923078,0.9090909090909091,0.08823529411764706,4,13
10,0.375,1.0,0.075,3,8
10,0.2,1.0,0.09090909090909091,3,15
10,0.3333333333333333,0.9333333333333333,0.23333333333333334,7,21
10,0.0,1.0,0.0,0,8
10,0.08333333333333333,1.0,0.029411764705882353,1,12
10,0.23076923076923078,0.9090909090909091,0.08823529411764706,4,13
20,0.23529411764705882,1.0,0.022598870056497175,4,17
20,0.13636363636363635,0.95,0.01764705882352941,4,22
20,0.4444444444444444,0.8823529411764706,0.06936416184971098,13,27
20,0.2,1.0,0.029411764705882353,5,25
20,0.3,1.0,0.05325443786982249,9,30
20,0.20689655172413793,0.9583333333333334,0.03614457831325301,6,29
20,0.23529411764705882,1.0,0.022598870056497175,4,17
20,0.125,0.9333333333333333,0.011428571428571429,2,16
20,0.1,1.0,0.011627906976744186,2,20
20,0.25,0.9642857142857143,0.05555555555555555,10,36
30,0.4605263157894737,0.9318181818181818,0.08951406649616368,38,76
30,0.15384615384615385,0.868421052631579,0.015113350125944584,11,39
30,0.28125,0.92,0.02195121951219512,11,32
30,0.3617021276595745,0.967741935483871,0.04207920792079208,18,47
30,0.4117647058823529,0.967741935483871,0.05198019801980198,21,51
30,0.3617021276595745,1.0,0.04197530864197531,17,47
30,0.2564102564102564,0.90625,0.02481389578163772,13,39
30,0.4166666666666667,0.875,0.0364963503649635,17,36
30,0.3404255319148936,0.8857142857142857,0.04,18,47
30,0.4,0.84375,0.04466501240694789,21,45
40,0.5684210526315789,1.0,0.07307171853856563,54,95
40,0.48333333333333334,0.96875,0.03877005347593583,30,60
40,0.5079365079365079,0.9117647058823529,0.04289544235924933,34,63
40,0.3548387096774194,0.9523809523809523,0.02981029810298103,24,62
40,0.5584415584415584,0.9714285714285714,0.05771812080536913,43,77
40,0.5714285714285714,0.975,0.07027027027027027,53,91
40,0.2708333333333333,0.9722222222222222,0.01747311827956989,14,48
40,0.40816326530612246,0.9666666666666667,0.02666666666666667,21,49
40,0.42857142857142855,1.0,0.04483695652173913,33,77
