data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.3,0.875,0.08108108108108109,3,10
10,0.0,1.0,0.0,0,9
10,0.15384615384615385,0.9166666666666666,0.06060606060606061,3,13
10,0.23076923076923078,0.9090909090909091,0.08823529411764706,4,13
10,0.375,1.0,0.075,3,8
10,0.25,1.0,0.12121212121212122,4,16
10,0.3333333333333333,0.9333333333333333,0.23333333333333334,7,21
10,0.2727272727272727,1.0,0.08108108108108109,3,11
10,0.08333333333333333,1.0,0.029411764705882353,1,12
10,0.23076923076923078,0.9090909090909091,0.08823529411764706,4,13
20,0.23529411764705882,1.0,0.022598870056497175,4,17
20,0.13636363636363635,0.95,0.01764705882352941,4,22
20,0.4444444444444444,0.8823529411764706,0.06936416184971098,13,27
20,0.3103448275862069,1.0,0.052941176470588235,9,29
20,0.27586206896551724,1.0,0.047337278106508875,8,29
20,0.20689655172413793,0.9583333333333334,0.03614457831325301,6,29
20,0.23529411764705882,1.0,0.022598870056497175,4,17
20,0.125,0.9333333333333333,0.011428571428571429,2,16
20,0.14285714285714285,1.0,0.01744186046511628,3,21
20,0.425531914893617,0.9642857142857143,0.12345679012345678,21,47
30,0.359375,0.9318181818181818,0.058823529411764705,26,64
30,0.15384615384615385,0.868421052631579,0.015113350125944584,11,39
30,0.28125,0.92,0.02195121951219512,11,32
30,0.3617021276595745,0.967741935483871,0.04207920792079208,18,47
30,0.4117647058823529,0.967741935483871,0.05198019801980198,21,51
30,0.3617021276595745,1.0,0.04197530864197531,17,47
30,0.3333333333333333,0.9375,0.03722084367245657,17,45
30,0.4166666666666667,0.875,0.0364963503649635,17,36
30,0.3404255319148936,0.8857142857142857,0.04,18,47
30,0.4,0.84375,0.04466501240694789,21,45
40,0.5773195876288659,1.0,0.07577807848443843,56,97
40,0.5921052631578947,0.96875,0.06016042780748663,46,76
40,0.5079365079365079,0.9117647058823529,0.04289544235924933,34,63
40,0.44594594594594594,0.9761904761904762,0.044715447154471545,34,74
40,0.36538461538461536,0.9428571428571428,0.025503355704697986,20,52
40,0.5714285714285714,0.975,0.07027027027027027,53,91
40,0.2708333333333333,0.9722222222222222,0.01747311827956989,14,48
40,0.40816326530612246,0.9666666666666667,0.02666666666666667,21,49
