data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.18181818181818182,0.9,0.05714285714285714,2,11
10,0.18181818181818182,1.0,0.05555555555555555,2,11
10,0.0,1.0,0.0,0,12
10,0.1111111111111111,0.8888888888888888,0.027777777777777776,1,9
10,0.0,1.0,0.0,0,9
10,0.0,1.0,0.0,0,9
10,0.08333333333333333,1.0,0.029411764705882353,1,12
10,0.0,0.9230769230769231,0.0,1,12
10,0.0,1.0,0.0,0,4
10,0.0,1.0,0.0,0,7
20,0.2777777777777778,0.9285714285714286,0.028409090909090908,5,18
20,0.3333333333333333,0.782608695652174,0.05389221556886228,14,27
20,0.18181818181818182,1.0,0.023255813953488372,4,22
20,0.1875,0.9285714285714286,0.037037037037037035,7,32
20,0.35714285714285715,0.9642857142857143,0.09259259259259259,15,42
20,0.24,1.0,0.03508771929824561,6,25
20,0.25,0.9375,0.028735632183908046,5,20
20,0.16666666666666666,1.0,0.023529411764705882,4,24
20,0.28125,1.0,0.05389221556886228,9,32
20,0.047619047619047616,1.0,0.0058823529411764705,1,21
30,0.2391304347826087,1.0,0.0275,11,46
30,0.28205128205128205,1.0,0.02702702702702703,11,39
30,0.3469387755102041,1.0,0.04218362282878412,17,49
30,0.34545454545454546,0.9473684210526315,0.04785894206549118,20,55
30,0.27586206896551724,1.0,0.01932367149758454,8,29
30,0.35294117647058826,0.9166666666666666,0.029197080291970802,12,34
30,0.27450980392156865,0.9736842105263158,0.03526448362720403,15,51
30,0.11538461538461539,1.0,0.007281553398058253,3,26
30,0.2702702702702703,0.9642857142857143,0.02457002457002457,11,37
30,0.35714285714285715,0.9642857142857143,0.036855036855036855,16,42
40,0.2982456140350877,0.975609756097561,0.023004059539918808,18,57
40,0.3333333333333333,0.9545454545454546,0.028532608695652172,23,63
40,0.5,1.0,0.03861517976031957,29,58
40,0.31746031746031744,1.0,0.027137042062415198,20,63
40,0.3448275862068966,0.9743589743589743,0.02699055330634278,20,58
40,0.45161290322580644,1.0,0.03753351206434316,28,62
40,0.3620689655172414,1.0,0.02826379542395693,21,58
40,0.42857142857142855,0.9230769230769231,0.03643724696356275,29,63
40,0.3050847457627119,0.9761904761904762,0.024390243902439025,18,59
40,0.4788732394366197,1.0,0.04576043068640646,34,71
50,0.44,1.0,0.037639007698887936,44,100
50,0.47191011235955055,0.9591836734693877,0.03571428571428571,42,89
50,0.5340909090909091,0.9761904761904762,0.039729501267962805,47,88
50,0.38666666666666666,0.9787234042553191,0.02461799660441426,30,75
50,0.46534653465346537,0.9152542372881356,0.04030874785591767,50,101
50,0.4827586206896552,0.9574468085106383,0.035653650254668934,43,87
50,0.45555555555555555,0.98,0.03489361702127659,41,90
50,0.43820224719101125,1.0,0.033191489361702124,39,89
50,0.4791666666666667,0.9433962264150944,0.03924914675767918,48,96
50,0.5104166666666666,1.0,0.04159592529711375,49,96
60,0.5932203389830508,0.9411764705882353,0.04072134962187318,71,118
60,0.5507246376811594,0.96875,0.044548651817116064,77,138
60,0.5724137931034483,0.96875,0.04865181711606096,84,145
60,0.5445544554455446,0.9787234042553191,0.03192106790481718,56,101
60,0.45871559633027525,0.9833333333333333,0.029239766081871343,50,109
60,0.49137931034482757,0.9833333333333333,0.03333333333333333,57,116
60,0.5083333333333333,0.9833333333333333,0.03567251461988304,62,120
60,0.5691056910569106,0.8833333333333333,0.04093567251461988,73,123
60,0.37962962962962965,1.0,0.024075161479741633,41,108
60,0.504424778761062,1.0,0.03325554259043174,57,113
70,0.5989010989010989,1.0,0.04654141759180188,109,182
70,0.5852272727272727,0.9605263157894737,0.0440359127832407,104,176
70,0.5827814569536424,0.9545454545454546,0.037462750106428265,90,151
70,0.5761589403973509,0.9696969696969697,0.037037037037037035,88,151
70,0.5882352941176471,0.9506172839506173,0.04712939160239932,111,187
70,0.6153846153846154,0.9090909090909091,0.04086845466155811,99,156
70,0.6149425287356322,0.9710144927536232,0.04560954816709292,109,174
70,0.5369127516778524,0.9583333333333334,0.034144259496372176,82,149
70,0.6190476190476191,0.9333333333333333,0.038641188959660296,92,147
70,0.5987654320987654,0.9558823529411765,0.04132935662547933,99,162
80,0.6649746192893401,0.9850746268656716,0.04235370190753314,132,197
80,0.691699604743083,0.896551724137931,0.05694760820045558,179,253
80,0.729957805907173,0.9014084507042254,0.05600517966979605,177,237
80,0.6713615023474179,0.9333333333333333,0.04635332252836305,146,213
80,0.6040609137055838,0.9176470588235294,0.038699186991869916,123,197
80,0.6417910447761194,0.9230769230769231,0.0418559377027904,132,201
80,0.6497890295358649,0.9764705882352941,0.05008130081300813,154,237
80,0.6608695652173913,0.975,0.04935064935064935,152,230
80,0.6359447004608295,0.9753086419753086,0.04481974667099708,140,217
80,0.6713615023474179,0.9333333333333333,0.04635332252836305,146,213
90,0.6466165413533834,0.9494949494949495,0.044034818228366614,175,266
90,0.6313559322033898,0.9775280898876404,0.03804902962206333,151,236
90,0.6851851851851852,0.9770114942528736,0.04721796835119959,187,270
90,0.6944444444444444,0.9777777777777777,0.05108556832694764,202,288
90,0.65,0.9545454545454546,0.03982639775338269,157,240
100,0.7243816254416962,0.9176470588235294,0.0421377183967112,209,283
100,0.6645569620253164,0.9724770642201835,0.04337946705226193,213,316
100,0.7087087087087087,0.97,0.04865979381443299,238,333
100,0.6985507246376812,0.9811320754716981,0.049752270850536746,242,345
100,0.716374269005848,0.941747572815534,0.050546729936042915,248,342
100,0.7243816254416962,0.9176470588235294,0.0421377183967112,209,283
100,0.6645569620253164,0.9724770642201835,0.04337946705226193,213,316
100,0.7087087087087087,0.97,0.04865979381443299,238,333
100,0.6985507246376812,0.9811320754716981,0.049752270850536746,242,345
100,0.716374269005848,0.941747572815534,0.050546729936042915,248,342

