data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.2,0.4,0.02857142857142857,7,5
10,0.0,0.0,0.0,9,0
10,0.0,0.08333333333333333,0.0,11,1
10,0.0,0.0,0.0,9,0
10,0.0,0.0,0.0,9,0
10,0.0,0.1111111111111111,0.0,8,1
10,0.0,0.09090909090909091,0.0,10,1
10,1.0,0.0,0.03125,14,1
10,0.0,0.25,0.0,3,1
10,0.0,0.0,0.0,7,0
20,0.0,0.14285714285714285,0.0,12,2
20,0.25,0.13043478260869565,0.005988023952095809,21,4
20,0.5,0.05555555555555555,0.005813953488372093,18,2
20,0.3333333333333333,0.35714285714285715,0.030864197530864196,22,15
20,0.47368421052631576,0.7142857142857143,0.1111111111111111,26,38
20,0.4444444444444444,0.2631578947368421,0.023391812865497075,18,9
20,0.0,0.0625,0.0,15,1
20,0.0,0.1,0.0,18,2
20,0.3333333333333333,0.17391304347826086,0.011976047904191617,21,6
20,0.0,0.05,0.0,19,1
30,0.21428571428571427,0.3142857142857143,0.0075,27,14
30,0.0,0.0,0.0,28,0
30,0.3333333333333333,0.1875,0.007444168734491315,29,9
30,0.16666666666666666,0.13157894736842105,0.0025188916876574307,34,6
30,0.0,0.0,0.0,21,0
30,0.0,0.041666666666666664,0.0,23,1
30,0.0,0.15789473684210525,0.0,32,6
30,0.0,0.043478260869565216,0.0,22,1
30,0.42857142857142855,0.14285714285714285,0.007371007371007371,27,7
30,0.0,0.03571428571428571,0.0,27,1
40,0.25,0.07317073170731707,0.0013531799729364006,39,4
40,0.4,0.13636363636363635,0.005434782608695652,42,10
40,0.0,0.0,0.0,29,0
40,0.3333333333333333,0.046511627906976744,0.0013568521031207597,42,3
40,0.0,0.20512820512820512,0.0,31,8
40,0.0,0.058823529411764705,0.0,32,2
40,0.25,0.08108108108108109,0.0013458950201884253,35,4
40,0.36363636363636365,0.1794871794871795,0.005398110661268556,36,11
40,0.25,0.07142857142857142,0.0013550135501355014,40,4
40,0.5416666666666666,0.2972972972972973,0.017496635262449527,38,24
50,0.375,0.08928571428571429,0.0025662959794696323,53,8
50,0.3333333333333333,0.08163265306122448,0.0017006802721088435,47,6
50,0.6666666666666666,0.023809523809523808,0.0016906170752324597,43,3
50,0.5,0.0425531914893617,0.001697792869269949,47,4
50,0.3333333333333333,0.1016949152542373,0.002572898799313894,56,9
50,0.4166666666666667,0.14893617021276595,0.004244482173174873,44,12
50,0.5,0.08,0.003404255319148936,48,8
50,0.2,0.08,0.000851063829787234,47,5
50,0.0,0.05660377358490566,0.0,50,3
50,0.2,0.0851063829787234,0.0008488964346349745,44,5
60,0.3333333333333333,0.19607843137254902,0.0029086678301337987,46,15
60,0.4,0.046875,0.0011723329425556857,63,5
60,0.35294117647058826,0.171875,0.0035169988276670576,59,17
60,0.5,0.06382978723404255,0.0017411491584445734,47,6
60,0.6,0.03333333333333333,0.0017543859649122807,60,5
60,0.1111111111111111,0.13333333333333333,0.0005847953216374269,53,9
60,0.42105263157894735,0.18333333333333332,0.004678362573099415,57,19
60,0.375,0.08333333333333333,0.0017543859649122807,58,8
60,0.25,0.08955223880597014,0.0011743981209630064,63,8
60,0.125,0.125,0.0005834305717619603,50,8
70,0.6,0.1095890410958904,0.005123825789923143,76,20
70,0.18181818181818182,0.11842105263157894,0.0008550662676357417,69,11
70,0.2,0.06060606060606061,0.0004257130693912303,63,5
70,0.4,0.09090909090909091,0.0017028522775649213,64,10
70,0.14285714285714285,0.07407407407407407,0.0004284490145672665,76,7
70,0.14285714285714285,0.09090909090909091,0.0004257130693912303,61,7
70,0.16666666666666666,0.07246376811594203,0.00042625745950554135,65,6
70,0.2,0.1111111111111111,0.0008536064874093043,65,10
70,0.125,0.11666666666666667,0.0004246284501061571,54,8
70,0.16666666666666666,0.07352941176470588,0.00042607584149978694,64,6
80,0.125,0.1044776119402985,0.00032331070158422246,61,8
80,0.5185185185185185,0.14942528735632185,0.004555808656036446,87,27
80,0.3333333333333333,0.08450704225352113,0.0009711880867594691,68,9
80,0.4,0.08,0.0012965964343598054,73,10
80,0.38461538461538464,0.09411764705882353,0.0016260162601626016,82,13
80,0.2,0.10256410256410256,0.0006489292667099286,72,10
80,0.2222222222222222,0.08235294117647059,0.0006504065040650406,80,9
80,0.2,0.1,0.0006493506493506494,74,10
80,0.14285714285714285,0.07407407407407407,0.0003247807729782397,76,7
80,0.5454545454545454,0.06097560975609756,0.001949317738791423,83,11
90,0.5,0.0707070707070707,0.0017921146953405018,99,14
90,0.3,0.07865168539325842,0.0007660878447395301,85,10
90,0.5142857142857142,0.19540229885057472,0.004594180704441042,87,35
90,0.16666666666666666,0.05555555555555555,0.0002554278416347382,86,6
90,0.15384615384615385,0.125,0.0005105948429920858,79,13
100,0.3,0.08235294117647059,0.0006166495375128469,81,10
100,0.375,0.045871559633027525,0.0006197066721751704,107,8
100,0.14285714285714285,0.06,0.0002061855670103093,95,7
100,0.29411764705882354,0.11320754716981132,0.001032204789430223,98,17
100,0.3181818181818182,0.14563106796116504,0.0014441922838869404,95,22
100,0.3,0.08235294117647059,0.0006166495375128469,81,10
100,0.375,0.045871559633027525,0.0006197066721751704,107,8
100,0.14285714285714285,0.06,0.0002061855670103093,95,7
100,0.29411764705882354,0.11320754716981132,0.001032204789430223,98,17
100,0.3181818181818182,0.14563106796116504,0.0014441922838869404,95,22
