data_variable_size,fdr,tpr,fpr,shd,nnz
10,0,1,0,0,8
10,0.1111111111111111,0.8888888888888888,0.027777777777777776,1,9
10,0,1,0,0,8
10,0,0.9090909090909091,0,1,10
10,0,1,0,0,8
10,0,0.8888888888888888,0,1,8
10,0,1,0,0,13
10,0.125,0.7,0.028571429,3,8
10,0.1111111111111111,0.8,0.028571429,3,9
10,0,1,0,0,12
20,0.090909091,0.9090909090909091,0.005586592,1,11
20,0.043478260869565216,1,0.005952381,1,23
20,0.095238095,0.8260869565217391,0.011976047904191617,5,21
20,0.1111111111111111,0.8888888888888888,0.011627906976744186,2,18
20,0,0.95,0,1,19
20,0,0.96,0,1,24
20,0.095238095,0.9047619047619048,0.011834319526627219,4,21
20,0,0.95,0,1,19
20,0,0.9583333333333334,0,1,23
20,0.045454545454545456,0.9545454545454546,0.005952381,1,22
30,0.0625,0.8823529411764706,0.004987531,5,32
30,0,0.9259259259259259,0,2,25
30,0,0.975,0,1,39
30,0.047619047619047616,0.9090909090909091,0.002421308,3,21
30,0,0.9545454545454546,0,1,21
30,0,0.967741935,0,1,30
30,0.026315789,1,0.002512563,1,38
30,0,1,0,0,31
30,0,1,0,0,35
30,0,1,0,0,34
40,0.03125,0.96875,0.001336898,2,32
40,0,0.9523809523809523,0,2,40
40,0,0.9387755102040817,0,3,46
40,0,1,0,0,36
40,0,0.8974358974358975,0,4,35
40,0.063829787,0.9361702127659575,0.004092769,4,47
40,0.078431373,0.9591836734693877,0.005471956,5,51
40,0.021739130434782608,0.9782608695652174,0.001362398,1,46
40,0,0.9743589743589743,0,1,38
40,0,1,0,0,28
50,0.076923077,0.9230769230769231,0.002529511,4,39
50,0.017857142857142856,0.9482758620689655,0.000856898,3,56
50,0.094339623,0.8727272727272727,0.004273504,11,53
50,0.063829787,0.8979591836734694,0.00255102,6,47
50,0.042553191,0.9574468085106383,0.001697793,2,47
50,0.025,0.9069767441860465,0.000846024,4,40
50,0,0.9782608695652174,0,1,45
50,0.033898305,0.9661016949152542,0.001715266,4,59
50,0.023255813953488372,0.9333333333333333,0.000847458,3,43
50,0,1,0,0,48
60,0.020408163,0.9056603773584906,0.000582411,5,49
60,0.018181818,0.9473684210526315,0.000583771,4,55
60,0,0.9661016949152542,0,2,57
60,0,1,0,0,38
60,0.017241379310344827,0.9661016949152542,0.000584454,3,58
60,0.018181818,0.9642857142857143,0.000583431,3,55
60,0,1,0,0,50
60,0,0.971830986,0,2,69
60,0.016949153,0.9666666666666667,0.000584795,2,59
60,0,0.9803921568627451,0,1,50
70,0.07017543859649122,0.8983050847457628,0.001697792869269949,10,57
70,0.01639344262295082,1.0,0.0004246284501061571,1,61
70,0.0,0.9852941176470589,0.0,1,67
70,0.01818181818181818,0.9642857142857143,0.000423908435777872,3,55
70,0.0,1.0,0.0,0,51
70,0.046875,0.9242424242424242,0.001277139208173691,7,64
70,0.03278688524590164,0.9365079365079365,0.0008503401360544217,6,61
70,0.017241379310344827,0.9344262295081968,0.0004248088360237893,4,58
70,0.045454545454545456,0.9545454545454546,0.001277139208173691,4,66
70,0.0,0.9298245614035088,0.0,4,53
80,0.0,0.9705882352941176,0.0,2,66
80,0.012658227848101266,0.9512195121951219,0.0003248862897985705,5,79
80,0.0,0.987012987012987,0.0,1,76
80,0.046511627906976744,0.9213483146067416,0.0013025073266037122,10,86
80,0.014492753623188406,0.9855072463768116,0.00032351989647363315,1,69
80,0.03488372093023256,0.8736842105263158,0.0009787928221859706,15,86
80,0.015151515151515152,0.9701492537313433,0.00032331070158422246,2,66
80,0.013333333333333334,0.961038961038961,0.0003243593902043464,3,75
80,0.20408163265306123,0.8764044943820225,0.0065125366330185605,31,98
80,0.02857142857142857,0.9714285714285714,0.0006472491909385113,3,70
90,0.013333333333333334,0.9024390243902439,0.0002549069589599796,9,75
90,0.0,0.9887640449438202,0.0,1,88
90,0.031578947368421054,0.8761904761904762,0.0007692307692307692,14,95
90,0.010416666666666666,0.9595959595959596,0.0002560163850486431,5,96
90,0.05,0.9313725490196079,0.0012810658467845247,9,100
90,0.05952380952380952,0.9294117647058824,0.0012755102040816326,10,84
90,0.025,0.9285714285714286,0.000510073960724305,6,80
90,0.009708737864077669,0.9272727272727272,0.00025673940949935817,9,103
90,0.01020408163265306,0.9603960396039604,0.00025614754098360657,4,98
90,0.0,0.9655172413793104,0.0,3,84
100,0.024691358024691357,0.9080459770114943,0.00041126876413736374,9,81
100,0.021505376344086023,0.9381443298969072,0.00041211621677313,7,93
100,0.009433962264150943,0.9905660377358491,0.00020644095788604458,2,106
100,0.02040816326530612,0.9230769230769231,0.0004127115146512588,10,98
100,0.0297029702970297,0.98,0.0006185567010309278,4,101
100,0.03488372093023256,0.9120879120879121,0.0006174109899156205,10,86
100,0.04,0.9320388349514563,0.0008252527336496802,9,100
100,0.1574074074074074,0.8584905660377359,0.003509496284062758,31,108
100,0.01834862385321101,0.9469026548672567,0.0004134794293983874,7,109
100,0.008928571428571428,0.9652173913043478,0.00020682523267838676,5,112
