data_variable_size,fdr,tpr,fpr,shd,nnz
10,0.0,0.0,0.0,10,0
10,0.0,0.0,0.0,14,0
10,0.0,0.0,0.0,14,0
10,0.0,0.0,0.0,9,0
10,0.0,0.0,0.0,9,0
10,0.0,0.0,0.0,11,0
10,0.0,0.0,0.0,9,0
10,0.0,0.0,0.0,15,0
10,0.0,0.0,0.0,5,0
10,0.0,0.0,0.0,10,0
20,0.0,0.0,0.0,21,0
20,0.0,0.0,0.0,18,0
20,0.0,0.0,0.0,18,0
20,0.0,0.0,0.0,28,0
20,0.0,0.0,0.0,20,0
20,0.0,0.0,0.0,19,0
20,0.0,0.0,0.0,12,0
20,0.0,0.0,0.0,15,0
20,0.0,0.0,0.0,18,0
20,0.0,0.0,0.0,16,0
30,0.0,0.0,0.0,30,0
30,0.0,0.0,0.0,33,0
30,0.0,0.0,0.0,31,0
30,0.0,0.0,0.0,29,0
30,0.0,0.0,0.0,35,0
30,0.0,0.0,0.0,26,0
30,0.0,0.0,0.0,26,0
30,0.0,0.0,0.0,37,0
30,0.0,0.0,0.0,34,0
30,0.0,0.0,0.0,26,0
40,0.0,0.0,0.0,42,0
40,0.0,0.0,0.0,40,0
40,0.0,0.0,0.0,34,0
40,0.0,0.0,0.0,44,0
40,0.0,0.0,0.0,42,0
40,0.0,0.0,0.0,38,0
40,0.0,0.0,0.0,49,0
40,0.0,0.0,0.0,46,0
40,0.0,0.0,0.0,49,0
40,0.0,0.0,0.0,40,0
50,0.0,0.0,0.0,49,0
50,0.0,0.0,0.0,51,0
50,0.0,0.0,0.0,64,0
50,0.0,0.0,0.0,47,0
50,0.0,0.0,0.0,49,0
50,0.0,0.0,0.0,45,0
50,0.0,0.0,0.0,48,0
50,0.0,0.0,0.0,48,0
50,0.0,0.0,0.0,47,0
50,0.0,0.0,0.0,62,0
60,0.0,0.0,0.0,59,0
60,0.0,0.0,0.0,62,0
60,0.0,0.0,0.0,57,0
60,0.0,0.0,0.0,66,0
60,0.0,0.0,0.0,57,0
60,0.0,0.0,0.0,58,0
60,0.0,0.0,0.0,67,0
60,0.0,0.0,0.0,76,0
60,0.0,0.0,0.0,67,0
60,0.0,0.0,0.0,68,0
70,0.0,0.0,0.0,80,0
70,0.0,0.0,0.0,79,0
70,0.0,0.0,0.0,69,0
70,0.0,0.0,0.0,81,0
70,0.0,0.0,0.0,66,0
70,0.0,0.0,0.0,78,0
70,0.0,0.0,0.0,84,0
70,0.0,0.0,0.0,70,0
70,0.0,0.0,0.0,73,0
70,0.0,0.0,0.0,70,0
80,0.0,0.0,0.0,85,0
80,0.0,0.0,0.0,76,0
80,0.0,0.0,0.0,78,0
80,0.0,0.0,0.0,89,0
80,0.0,0.0,0.0,87,0
80,0.0,0.0,0.0,83,0
80,0.0,0.0,0.0,75,0
80,0.0,0.0,0.0,73,0
80,0.0,0.0,0.0,80,0
80,0.0,0.0,0.0,80,0
90,0.0,0.0,0.0,91,0
90,0.0,0.0,0.0,99,0
90,0.0,0.0,0.0,105,0
90,0.0,0.0,0.0,95,0
90,0.0,0.0,0.0,90,0
90,0.0,0.0,0.0,94,0
90,0.0,0.0,0.0,80,0
90,0.0,0.0,0.0,82,0
90,0.0,0.0,0.0,81,0
90,0.0,0.0,0.0,94,0
100,0.0,0.0,0.0,83,0
100,0.0,0.0,0.0,91,0
100,0.0,0.0,0.0,93,0
100,0.0,0.0,0.0,116,0
100,0.0,0.0,0.0,86,0
100,0.0,0.0,0.0,87,0
100,0.0,0.0,0.0,96,0
100,0.0,0.0,0.0,101,0
100,0.0,0.0,0.0,111,0
100,0.0,0.0,0.0,95,0
